Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3520400;Interior;Ilhabela;4890;28;;;
3520426;Interior;Ilha Comprida;498;15;;;
3520442;Interior;Ilha Solteira;1198;40;;;
3520509;Interior;Indaiatuba;14987;342;;;
3520608;Interior;Indiana;184;5;;;
3520707;Interior;Indiaporã;106;2;;;
3520806;Interior;Inúbia Paulista;127;4;;;
3520905;Interior;Ipaussu;654;9;;;
3521002;Interior;Iperó;890;9;;;
3521101;Interior;Ipeúna;291;1;;;
3521150;Interior;Ipiguá;498;10;;;
3521200;Interior;Iporanga;178;2;;;
3521309;Interior;Ipuã;909;29;;;
3521408;Interior;Iracemápolis;2190;27;;;
3521507;Interior;Irapuã;330;7;;;
3521606;Interior;Irapuru;198;3;;;
3521705;Interior;Itaberá;853;12;;;
3521804;Interior;Itaí;647;9;;;
3521903;Interior;Itajobi;815;20;;;
3522000;Interior;Itaju;261;1;;;
3522109;Interior;Itanhaém;2930;125;;;
3522158;Interior;Itaoca;194;0;;;
3522208;RMSP (exceto capital);Itapecerica da Serra;4447;230;;;
3522307;Interior;Itapetininga;7842;121;;;
3522406;Interior;Itapeva;3297;97;;;
3522505;RMSP (exceto capital);Itapevi;5352;322;;;
3522604;Interior;Itapira;3593;70;;;
3522653;Interior;Itapirapuã Paulista;230;2;;;
3522703;Interior;Itápolis;1617;29;;;
3522802;Interior;Itaporanga;444;10;;;
3522901;Interior;Itapuí;742;10;;;
3523008;Interior;Itapura;122;5;;;
3523107;RMSP (exceto capital);Itaquaquecetuba;8504;438;;;
3523206;Interior;Itararé;2096;46;;;
3523305;Interior;Itariri;748;17;;;
3523404;Interior;Itatiba;4619;49;;;
3523503;Interior;Itatinga;832;17;;;
3523602;Interior;Itirapina;937;22;;;
3523701;Interior;Itirapuã;126;1;;;
3523800;Interior;Itobi;457;7;;;
3523909;Interior;Itu;9150;163;;;
3524006;Interior;Itupeva;3101;50;;;
3524105;Interior;Ituverava;1033;56;;;
3524204;Interior;Jaborandi;263;5;;;
3524303;Interior;Jaboticabal;2433;64;;;
3524402;Interior;Jacareí;12290;282;;;
3524501;Interior;Jaci;458;8;;;
3524600;Interior;Jacupiranga;896;29;;;
3524709;Interior;Jaguariúna;2273;47;;;
3524808;Interior;Jales;3494;121;;;
3524907;Interior;Jambeiro;223;8;;;
3525003;RMSP (exceto capital);Jandira;3524;133;;;
3525102;Interior;Jardinópolis;1687;64;;;
3525201;Interior;Jarinu;1157;29;;;
3525300;Interior;Jaú;6197;247;;;
3525409;Interior;Jeriquara;139;1;;;
3525508;Interior;Joanópolis;392;4;;;
3525607;Interior;João Ramalho;237;8;;;
3525706;Interior;José Bonifácio;2699;41;;;
3525805;Interior;Júlio Mesquita;67;4;;;
3525854;Interior;Jumirim;170;2;;;
3525904;Interior;Jundiaí;25453;630;;;
3526001;Interior;Junqueirópolis;735;19;;;
3526100;Interior;Juquiá;989;20;;;
3526209;RMSP (exceto capital);Juquitiba;1461;28;;;
3526308;Interior;Lagoinha;109;2;;;
3526407;Interior;Laranjal Paulista;1552;16;;;
3526506;Interior;Lavínia;495;5;;;
3526605;Interior;Lavrinhas;149;3;;;
3526704;Interior;Leme;5078;122;;;
3526803;Interior;Lençóis Paulista;6102;71;;;
3526902;Interior;Limeira;14027;345;;;
3527009;Interior;Lindóia;218;4;;;
3527108;Interior;Lins;5016;101;;;
3527207;Interior;Lorena;2511;67;;;
3527256;Interior;Lourdes;144;3;;;
3527306;Interior;Louveira;1795;31;;;
3527405;Interior;Lucélia;514;17;;;
3527504;Interior;Lucianópolis;16;0;;;
3527603;Interior;Luís Antônio;895;12;;;
3527702;Interior;Luiziânia;136;3;;;
3527801;Interior;Lupércio;108;0;;;
3527900;Interior;Lutécia;115;1;;;
3528007;Interior;Macatuba;1698;20;;;
3528106;Interior;Macaubal;271;4;;;
3528205;Interior;Macedônia;193;7;;;
3528304;Interior;Magda;73;2;;;
3528403;Interior;Mairinque;1806;27;;;
3528502;RMSP (exceto capital);Mairiporã;3978;111;;;
3528601;Interior;Manduri;291;3;;;
3528700;Interior;Marabá Paulista;79;1;;;
3528809;Interior;Maracaí;534;10;;;
3528858;Interior;Marapoama;176;3;;;
3528908;Interior;Mariápolis;92;0;;;
3529005;Interior;Marília;12450;212;;;
3529104;Interior;Marinópolis;77;1;;;
3529203;Interior;Martinópolis;700;23;;;
3529302;Interior;Matão;2204;56;;;
3529401;RMSP (exceto capital);Mauá;15177;743;;;
3529500;Interior;Mendonça;414;13;;;
3529609;Interior;Meridiano;199;8;;;
3529658;Interior;Mesópolis;60;1;;;
3529708;Interior;Miguelópolis;775;38;;;
3529807;Interior;Mineiros do Tietê;801;11;;;
3529906;Interior;Miracatu;1079;34;;;
3530003;Interior;Mira Estrela;147;3;;;
3530102;Interior;Mirandópolis;913;15;;;
3530201;Interior;Mirante do Paranapanema;347;9;;;
3530300;Interior;Mirassol;4254;86;;;
3530409;Interior;Mirassolândia;281;3;;;
3530508;Interior;Mococa;2824;50;;;
3530607;RMSP (exceto capital);Mogi das Cruzes;16399;747;;;
3530706;Interior;Mogi Guaçu;8458;180;;;
3530805;Interior;Mogi Mirim;5046;115;;;
3530904;Interior;Mombuca;161;1;;;
3531001;Interior;Monções;138;5;;;
3531100;Interior;Mongaguá;1160;41;;;
3531209;Interior;Monte Alegre do Sul;228;3;;;
3531308;Interior;Monte Alto;2112;58;;;
3531407;Interior;Monte Aprazível;1244;28;;;
3531506;Interior;Monte Azul Paulista;706;6;;;
3531605;Interior;Monte Castelo;324;7;;;
3531704;Interior;Monteiro Lobato;110;2;;;
3531803;Interior;Monte Mor;2545;51;;;
3531902;Interior;Morro Agudo;2231;31;;;
3532009;Interior;Morungaba;355;7;;;
3532058;Interior;Motuca;194;5;;;
3532108;Interior;Murutinga do Sul;155;4;;;
3532157;Interior;Nantes;105;1;;;
3532207;Interior;Narandiba;309;8;;;
3532306;Interior;Natividade da Serra;79;1;;;
3532405;Interior;Nazaré Paulista;616;7;;;
3532504;Interior;Neves Paulista;476;13;;;
3532603;Interior;Nhandeara;538;16;;;
3532702;Interior;Nipoã;175;2;;;
3532801;Interior;Nova Aliança;452;9;;;
3532827;Interior;Nova Campina;250;8;;;
3532843;Interior;Nova Canaã Paulista;115;3;;;
3532868;Interior;Nova Castilho;27;2;;;
3532900;Interior;Nova Europa;422;11;;;
3533007;Interior;Nova Granada;1711;36;;;
3533106;Interior;Nova Guataporanga;130;0;;;
3533205;Interior;Nova Independência;158;2;;;
3533254;Interior;Novais;208;8;;;
3533304;Interior;Nova Luzitânia;124;3;;;
3533403;Interior;Nova Odessa;2983;84;;;
3533502;Interior;Novo Horizonte;2191;46;;;
3533601;Interior;Nuporanga;227;3;;;
3533700;Interior;Ocauçu;210;3;;;
3533809;Interior;Óleo;20;1;;;
3533908;Interior;Olímpia;5108;102;;;
3534005;Interior;Onda Verde;437;9;;;
3534104;Interior;Oriente;150;6;;;
3534203;Interior;Orindiúva;684;8;;;
3534302;Interior;Orlândia;2191;64;;;
3534401;RMSP (exceto capital);Osasco;24518;1172;;;
3534500;Interior;Oscar Bressane;77;0;;;
3534609;Interior;Osvaldo Cruz;871;28;;;
3534708;Interior;Ourinhos;5602;107;;;
3534757;Interior;Ouroeste;466;12;;;
3534807;Interior;Ouro Verde;269;4;;;
3534906;Interior;Pacaembu;799;18;;;
3535002;Interior;Palestina;314;13;;;
3535101;Interior;Palmares Paulista;612;22;;;
3535200;Interior;Palmeira d'Oeste;362;9;;;
3535309;Interior;Palmital;1073;15;;;
3535408;Interior;Panorama;368;10;;;
3535507;Interior;Paraguaçu Paulista;1653;31;;;
3535606;Interior;Paraibuna;626;17;;;
3535705;Interior;Paraíso;239;7;;;
3535804;Interior;Paranapanema;618;22;;;
3535903;Interior;Paranapuã;205;7;;;
3536000;Interior;Parapuã;307;8;;;
3536109;Interior;Pardinho;326;6;;;
3536208;Interior;Pariquera-Açu;1338;29;;;
3536257;Interior;Parisi;204;10;;;
3536307;Interior;Patrocínio Paulista;462;12;;;
3536406;Interior;Paulicéia;189;4;;;
3536505;Interior;Paulínia;8989;118;;;
3536570;Interior;Paulistânia;35;0;;;
3536604;Interior;Paulo de Faria;306;7;;;
3536703;Interior;Pederneiras;2158;51;;;
3536802;Interior;Pedra Bela;154;2;;;
3536901;Interior;Pedranópolis;109;3;;;
3537008;Interior;Pedregulho;140;6;;;
3537107;Interior;Pedreira;1805;27;;;
3537156;Interior;Pedrinhas Paulista;131;3;;;
3537206;Interior;Pedro de Toledo;169;8;;;
3537305;Interior;Penápolis;2991;73;;;
3537404;Interior;Pereira Barreto;805;18;;;
3537503;Interior;Pereiras;442;6;;;
3537602;Interior;Peruíbe;3119;81;;;
3537701;Interior;Piacatu;314;4;;;
3537800;Interior;Piedade;2132;64;;;
3537909;Interior;Pilar do Sul;941;22;;;
3538006;Interior;Pindamonhangaba;6011;124;;;
